OrderID,OrderDate,ShipDate,Delivered Date,Country,Products,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,TerritoryID,PromotionID,ShipModeID,ProductID
ORD-000001,01-01-2023,01-02-2023,01-03-2023,Canada, Electronics ,1618.5,3,20,32370,0,32370,16185,16185,4,PR002,3,P0001
ORD-000001,01-01-2023,01-02-2023,01-06-2023,Germany, Electronics ,1321,3,20,26420,0,26420,13210,13210,3,PR003,2,P0001
ORD-000001,01-03-2023,01-04-2023,01-11-2023,France, Electronics ,2178,3,15,32670,0,32670,21780,10890,3,PR001,4,P0001
ORD-000002,01-04-2023,01-05-2023,01-06-2023,Germany, Electronics ,888,3,15,13320,0,13320,8880,4440,3,PR004,3,P0001
ORD-000002,01-05-2023,01-06-2023,01-06-2023,Mexico, Electronics ,2470,3,15,37050,0,37050,24700,12350,4,PR003,1,P0001
ORD-000002,01-06-2023,01-07-2023,01-06-2023,Germany, Electronics ,1513,3,350,529550,0,529550,393380,136170,2,PR003,4,P0001
ORD-000003,01-07-2023,01-08-2023,01-12-2023,Germany, Mens Fashion ,921,5,15,13815,0,13815,9210,4605,2,PR004,2,P0002
ORD-000003,01-08-2023,01-09-2023,01-10-2023,Canada, Mens Fashion ,2518,5,12,30216,0,30216,7554,22662,4,PR003,3,P0002
ORD-000003,01-09-2023,01-10-2023,01-12-2023,France, Mens Fashion ,1899,5,20,37980,0,37980,18990,18990,3,PR003,2,P0002
ORD-000004,01-10-2023,01-11-2023,01-12-2023,Germany, Mens Fashion ,1545,5,12,18540,0,18540,4635,13905,3,PR002,1,P0002
ORD-000004,01-11-2023,01-12-2023,01-12-2023,Mexico, Mens Fashion ,2470,5,15,37050,0,37050,24700,12350,2,PR004,3,P0002
ORD-000004,01-12-2023,01-12-2023,01-12-2023,Canada, Mens Fashion ,2665.5,5,125,333187.5,0,333187.5,319860,13327.5,3,PR001,1,P0002
ORD-000005,01-12-2023,01-12-2023,01-12-2023,Mexico, Mens Fashion ,958,5,300,287400,0,287400,239500,47900,1,PR003,1,P0002
ORD-000005,01-12-2023,01-12-2023,01-12-2023,Germany, Mens Fashion ,2146,5,7,15022,0,15022,10730,4292,2,PR004,4,P0002
ORD-000005,01-12-2023,01-12-2023,01-12-2023,Canada, Mens Fashion ,345,5,125,43125,0,43125,41400,1725,3,PR002,2,P0002
ORD-000006,01-12-2023,01-12-2023,01-12-2023,USA, Mens Fashion ,615,5,15,9225,0,9225,6150,3075,2,PR001,3,P0002
ORD-000006,01-12-2023,01-12-2023,01-12-2023,Canada, Womens Fashion ,292,10,20,5840,0,5840,2920,2920,1,PR004,1,P0003
ORD-000006,01-12-2023,01-12-2023,01-12-2023,Mexico, Womens Fashion ,974,10,15,14610,0,14610,9740,4870,2,PR001,1,P0003
ORD-000007,01-12-2023,01-12-2023,01-12-2023,Canada, Womens Fashion ,2518,10,12,30216,0,30216,7554,22662,2,PR001,3,P0003
ORD-000007,01-12-2023,01-12-2023,01-12-2023,Germany, Womens Fashion ,1006,10,350,352100,0,352100,261560,90540,2,PR001,1,P0003
ORD-000007,01-12-2023,01-12-2023,01-12-2023,Germany, Womens Fashion ,367,10,12,4404,0,4404,1101,3303,2,PR003,4,P0003
ORD-000008,01-12-2023,01-12-2023,01-12-2023,Mexico, Womens Fashion ,883,10,7,6181,0,6181,4415,1766,1,PR003,4,P0003
