OrderID,OrderDate,ShipDate,Delivered Date,Country, Products ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS ,  Profit  ,TerritoryID,PromotionID,ShipModeID,ProductID
ORD-000001,01-01-2022,02-01-2022,03-01-2022,Mexico, Electronics ,1445,3,12,17340,173.4,17166.6,4335,12831.6,4,PR002,3,P0001
ORD-000001,01-01-2022,02-01-2022,06-01-2022,India, Electronics ,330,3,125,41250,412.5,40837.5,39600,1237.5,3,PR003,2,P0001
ORD-000001,03-01-2022,04-01-2022,11-01-2022,India, Electronics ,2671,3,12,32052,320.52,31731.48,8013,23718.48,3,PR001,4,P0001
ORD-000002,04-01-2022,05-01-2022,06-01-2022,India, Electronics ,766,3,12,9192,91.92,9100.08,2298,6802.08,3,PR004,3,P0001
ORD-000002,05-01-2022,06-01-2022,13-01-2022,Mexico, Electronics ,494,3,300,148200,1482,146718,123500,23218,4,PR003,1,P0001
ORD-000002,06-01-2022,07-01-2022,14-01-2022,Germany, Electronics ,1397,3,350,488950,4889.5,484060.5,363220,120840.5,2,PR003,4,P0001
ORD-000003,07-01-2022,08-01-2022,12-01-2022,Germany, Mens Fashion ,2155,3,350,754250,7542.5,746707.5,560300,186407.5,2,PR004,2,P0002
ORD-000003,08-01-2022,09-01-2022,10-01-2022,Mexico, Mens Fashion ,2214,5,15,33210,332.1,32877.9,22140,10737.9,4,PR003,3,P0002
ORD-000003,09-01-2022,10-01-2022,12-01-2022,India, Mens Fashion ,2301,5,300,690300,6903,683397,575250,108147,3,PR003,2,P0002
ORD-000004,10-01-2022,11-01-2022,16-01-2022,India, Mens Fashion ,1375.5,5,20,27510,275.1,27234.9,13755,13479.9,3,PR002,1,P0002
ORD-000004,11-01-2022,12-01-2022,13-01-2022,Germany, Mens Fashion ,1830,5,7,12810,128.1,12681.9,9150,3531.9,2,PR004,3,P0002
ORD-000004,12-01-2022,13-01-2022,18-01-2022,India, Mens Fashion ,2498,5,300,749400,7494,741906,624500,117406,3,PR001,1,P0002
ORD-000005,13-01-2022,14-01-2022,19-01-2022,Brazil, Mens Fashion ,2009,120,125,251125,7533.75,243591.25,241080,2511.25,1,PR003,1,P0002
ORD-000005,14-01-2022,15-01-2022,22-01-2022,Germany, Mens Fashion ,2844,250,300,853200,25596,827604,711000,116604,2,PR004,4,P0002
ORD-000005,15-01-2022,16-01-2022,18-01-2022,India, Mens Fashion ,1916,250,12,22992,689.76,22302.24,5748,16554.24,3,PR002,2,P0002
ORD-000006,16-01-2022,17-01-2022,18-01-2022,Germany, Mens Fashion ,1570,250,125,196250,5887.5,190362.5,188400,1962.5,2,PR001,3,P0002
ORD-000006,17-01-2022,18-01-2022,26-01-2022,Brazil, Womens Fashion ,1874,250,300,562200,16866,545334,468500,76834,1,PR004,1,P0003
ORD-000006,18-01-2022,19-01-2022,27-01-2022,Germany, Womens Fashion ,1642,250,350,574700,17241,557459,426920,130539,2,PR001,1,P0003
ORD-000007,19-01-2022,20-01-2022,21-01-2022,Germany, Womens Fashion ,1945,250,15,29175,875.25,28299.75,19450,8849.75,2,PR001,3,P0003
ORD-000007,20-01-2022,21-01-2022,29-01-2022,Germany, Womens Fashion ,831,3,20,16620,498.6,16121.4,8310,7811.4,2,PR001,1,P0003
ORD-000007,21-01-2022,22-01-2022,29-01-2022,Germany, Womens Fashion ,1760,10,7,12320,369.6,11950.4,8800,3150.4,2,PR003,4,P0003
ORD-000008,22-01-2022,23-01-2022,30-01-2022,Brazil, Womens Fashion ,3850.5,120,20,77010,2310.3,74699.7,38505,36194.7,1,PR003,4,P0003
ORD-000008,23-01-2022,24-01-2022,31-01-2022,Mexico, Womens Fashion ,2479,250,12,29748,892.44,28855.56,7437,21418.56,4,PR002,4,P0003
ORD-000008,24-01-2022,25-01-2022,01-02-2022,Germany, Womens Fashion ,2031,5,15,30465,1218.6,29246.4,20310,8936.4,2,PR002,4,P0003
ORD-000009,25-01-2022,26-01-2022,31-01-2022,Germany, Womens Fashion ,2031,10,15,30465,1218.6,29246.4,20310,8936.4,2,PR004,1,P0003
ORD-000009,26-01-2022,27-01-2022,28-01-2022,India, Womens Fashion ,1303,10,20,26060,1303,24757,13030,11727,3,PR002,3,P0003
ORD-000009,27-01-2022,28-01-2022,29-01-2022,Germany, Womens Fashion ,2992,10,125,374000,18700,355300,359040,"-3,740.00",2,PR001,3,P0003
ORD-000010,28-01-2022,29-01-2022,30-01-2022,India, Womens Fashion ,2385,10,125,298125,14906.25,283218.75,286200,"-2,981.25",3,PR001,3,P0003
ORD-000010,29-01-2022,30-01-2022,31-01-2022,Mexico, Womens Fashion ,1607,10,300,482100,24105,457995,401750,56245,4,PR003,3,P0003
ORD-000010,30-01-2022,31-01-2022,02-02-2022,Brazil, Womens Fashion ,2327,10,7,16289,814.45,15474.55,11635,3839.55,1,PR001,2,P0003
ORD-000011,31-01-2022,01-02-2022,02-02-2022,Brazil, Womens Fashion ,991,10,300,297300,14865,282435,247750,34685,1,PR004,3,P0003
ORD-000011,01-02-2022,02-02-2022,04-02-2022,Mexico, Team Sports ,602,10,350,210700,10535,200165,156520,43645,4,PR001,2,P0004
